long_dist,lat_vel,Crash,Crash type,minTTC,reacted,ego_speed,perceived_gap,true_gap,perceived_lat_gap,true_lat_gap,perceived_lat_speed,true_lat_speed,perceived_speed,true_speed,entry_ego_speed,entry_perceived_gap,entry_true_gap,entry_perceived_lat_gap,entry_true_lat_gap,entry_perceived_lat_speed,entry_true_lat_speed,entry_perceived_speed,entry_true_speed
1,0.0,False,0,4.0,False,25.0,-2.6140843431713456,-3.4444444444444446,2.651495730433654,1.6,0.0,0.0,2.7777777777777777,2.7777777777777777,,,,,,,,,
1,0.1,False,0,4.0,True,25.0,-3.3512123207450637,-3.4444444444444446,2.424247385347646,1.58,-0.1,-0.1,2.7777777777777777,2.7777777777777777,25.0,347.4471038781407,348.17777777777786,0.07925994410508674,-0.00999999999999579,-0.1,-0.1,2.7777777777777777,2.7777777777777777
1,0.2,False,0,4.0,True,25.0,-3.6906267244868474,-3.4444444444444446,1.527847798633445,1.56,-0.2,-0.2,2.7777777777777777,2.7777777777777777,25.0,171.1780789542736,170.40000000000003,1.4627719630171607,-0.019999999999997353,-0.2,-0.2,2.7777777777777777,2.7777777777777777
1,0.30000000000000004,False,0,4.0,True,25.0,-4.269241513182186,-3.4444444444444446,1.558951140112018,1.54,-0.30000000000000004,-0.30000000000000004,2.7777777777777777,2.7777777777777777,25.0,110.33977079034152,110.40000000000002,0.7626954768182812,-0.020000000000001572,-0.30000000000000004,-0.30000000000000004,2.7777777777777777,2.7777777777777777
1,0.4,False,0,3.599999999999999,True,25.0,-3.4456580069226863,-3.4444444444444446,1.9959808475349732,1.52,-0.4,-0.4,2.7777777777777777,2.7777777777777777,25.0,78.8298704092215,79.2888888888889,0.8491025368320884,-6.661338147750939e-16,-0.4,-0.4,2.7777777777777777,2.7777777777777777
1,0.5,False,0,2.7999999999999994,True,25.0,-4.22613750879057,-3.4444444444444446,1.4378553787047914,1.5,-0.5,-0.5,2.7777777777777777,2.7777777777777777,25.0,61.35800690570839,61.51111111111112,-0.6609688221524146,0.0,-0.5,-0.5,2.7777777777777777,2.7777777777777777
1,0.6000000000000001,False,0,2.2666666666666657,True,25.0,-3.801379174918271,-3.4444444444444446,1.6084635907413896,1.48,-0.6000000000000001,-0.6000000000000001,2.7777777777777777,2.7777777777777777,25.0,50.06252353785699,50.400000000000006,-0.35143051519542357,-0.019999999999999574,-0.6000000000000001,-0.6000000000000001,2.7777777777777777,2.7777777777777777
1,0.7000000000000001,False,0,1.885714285714285,True,25.0,-3.3736406516843767,-3.4444444444444446,2.1893211106340167,1.46,-0.7000000000000001,-0.7000000000000001,2.7777777777777777,2.7777777777777777,25.0,41.405563939916036,41.51111111111111,-0.07242071554005158,-0.009999999999999343,-0.7000000000000001,-0.7000000000000001,2.7777777777777777,2.7777777777777777
1,0.8,False,0,1.6000000000000005,True,25.0,-3.882338043644917,-3.4444444444444446,1.1918959690933417,1.44,-0.8,-0.8,2.7777777777777777,2.7777777777777777,25.0,35.391756293014936,34.84444444444445,0.909472815167812,-2.220446049250313e-16,-0.8,-0.8,2.7777777777777777,2.7777777777777777
1,0.9,False,0,1.3777777777777782,True,25.0,-4.010913020258232,-3.4444444444444446,1.579505639069942,1.42,-0.9,-0.9,2.7777777777777777,2.7777777777777777,25.0,31.38910126806844,30.400000000000002,-0.13834672779998058,-0.02000000000000024,-0.9,-0.9,2.7777777777777777,2.7777777777777777
1,1.0,False,0,1.2000000000000004,True,25.0,-3.785994653538193,-3.4444444444444446,1.7436728134868091,1.4,-1.0,-1.0,2.7777777777777777,2.7777777777777777,25.0,26.02304582968173,25.955555555555556,-0.5394424632795984,0.0,-1.0,-1.0,2.7777777777777777,2.7777777777777777
1,1.1,False,0,1.054545454545455,True,25.0,-3.379502369783327,-3.4444444444444446,1.3649910979039612,1.38,-1.1,-1.1,2.7777777777777777,2.7777777777777777,25.0,23.606163928891633,23.73333333333333,-0.6382946600587096,-0.0499999999999996,-1.1,-1.1,2.7777777777777777,2.7777777777777777
1,1.2000000000000002,False,0,0.9333333333333335,True,25.0,-3.4967630255556186,-3.4444444444444446,0.26318737915960444,1.3599999999999999,-1.2000000000000002,-1.2000000000000002,2.7777777777777777,2.7777777777777777,25.0,21.7937152848424,21.51111111111111,0.17803438974643848,-0.07999999999999963,-1.2000000000000002,-1.2000000000000002,2.7777777777777777,2.7777777777777777
1,1.3,False,0,0.8307692307692309,True,25.0,-1.9861475069560353,-3.4444444444444446,1.30427174921748,1.3400000000000003,-1.3,-1.3,2.7777777777777777,2.7777777777777777,25.0,20.35779531317235,19.288888888888888,0.7827742692670543,-0.09000000000000008,-1.3,-1.3,2.7777777777777777,2.7777777777777777
1,1.4000000000000001,False,0,0.7428571428571428,True,25.0,-3.399933875717859,-3.4444444444444446,1.4078530432374774,1.3199999999999998,-1.4000000000000001,-1.4000000000000001,2.7777777777777777,2.7777777777777777,25.0,17.126864367290114,17.066666666666666,0.6552847923198333,-0.08000000000000007,-1.4000000000000001,-1.4000000000000001,2.7777777777777777,2.7777777777777777
