long_dist,lat_vel,Crash,Crash type,minTTC,reacted,ego_speed,perceived_gap,true_gap,perceived_lat_gap,true_lat_gap,perceived_lat_speed,true_lat_speed,perceived_speed,true_speed,entry_ego_speed,entry_perceived_gap,entry_true_gap,entry_perceived_lat_gap,entry_true_lat_gap,entry_perceived_lat_speed,entry_true_lat_speed,entry_perceived_speed,entry_true_speed
1,0.0,False,0,4.0,False,19.444444444444443,-3.339754588783058,-3.999999999999999,2.1457833648112525,1.6,0.0,0.0,2.7777777777777777,2.7777777777777777,,,,,,,,,
1,0.1,False,0,4.0,True,19.444444444444443,-3.89392942833073,-3.999999999999999,2.426244320172159,1.5700000000000003,-0.1,-0.1,2.7777777777777777,2.7777777777777777,19.444444444444443,259.9147113553336,258.73333333333454,-1.0533907437502452,-0.00999999999999579,-0.1,-0.1,2.7777777777777777,2.7777777777777777
1,0.2,False,0,4.0,True,19.444444444444443,-3.452210771497205,-3.999999999999999,1.658754774912658,1.54,-0.2,-0.2,2.7777777777777777,2.7777777777777777,19.444444444444443,124.51367918273966,125.40000000000016,-0.18715107112292872,-0.019999999999997353,-0.2,-0.2,2.7777777777777777,2.7777777777777777
1,0.30000000000000004,False,0,4.0,True,19.444444444444443,-3.9031423953932665,-4.0,1.7120815296805065,1.5100000000000002,-0.30000000000000004,-0.30000000000000004,2.7777777777777777,2.7777777777777777,19.444444444444443,78.78174158598495,80.39999999999995,-0.8026031206405189,-0.020000000000001572,-0.30000000000000004,-0.30000000000000004,2.7777777777777777,2.7777777777777777
1,0.4,False,0,3.499999999999999,False,19.444444444444443,-4.034855541404467,-4.0,1.513025961427727,1.48,-0.4,-0.4,2.7777777777777777,2.7777777777777777,19.444444444444443,57.4707088677159,57.066666666666634,-1.1387423889902997,-6.661338147750939e-16,-0.4,-0.4,2.7777777777777777,2.7777777777777777
1,0.5,False,0,2.6999999999999997,False,19.444444444444443,-3.984818728694279,-4.0,0.8271054535150197,1.4500000000000002,-0.5,-0.5,2.7777777777777777,2.7777777777777777,19.444444444444443,44.63213279684538,43.733333333333306,0.9408940349987214,0.0,-0.5,-0.5,2.7777777777777777,2.7777777777777777
1,0.6000000000000001,False,0,2.1666666666666665,False,19.444444444444443,-4.016480923657684,-4.0,1.6387568050656744,1.42,-0.6000000000000001,-0.6000000000000001,2.7777777777777777,2.7777777777777777,19.444444444444443,33.58897647208703,35.39999999999998,1.1379381785784783,-0.019999999999999574,-0.6000000000000001,-0.6000000000000001,2.7777777777777777,2.7777777777777777
1,0.7000000000000001,False,0,1.7857142857142858,False,19.444444444444443,-3.864314060691453,-4.0,2.237951956244235,1.3900000000000001,-0.7000000000000001,-0.7000000000000001,2.7777777777777777,2.7777777777777777,19.444444444444443,26.69921671204452,28.73333333333331,-0.3478382499081756,-0.009999999999999343,-0.7000000000000001,-0.7000000000000001,2.7777777777777777,2.7777777777777777
1,0.8,False,0,1.5000000000000004,True,19.444444444444443,-2.778054411644292,-4.0,2.435200465053066,1.3599999999999999,-0.8,-0.8,2.7777777777777777,2.7777777777777777,19.444444444444443,27.217631344884108,23.733333333333317,-0.9947897569178294,-2.220446049250313e-16,-0.8,-0.8,2.7777777777777777,2.7777777777777777
1,0.9,False,0,1.2777777777777775,False,19.444444444444443,-3.3252881508286167,-4.0,1.0836248896280893,1.33,-0.9,-0.9,2.7777777777777777,2.7777777777777777,19.444444444444443,21.761266853899688,20.399999999999984,-0.0066996090760209626,-0.02000000000000024,-0.9,-0.9,2.7777777777777777,2.7777777777777777
