long_dist,lat_vel,Crash,Crash type,minTTC,PFS,CFS,reacted,ego_speed,perceived_gap,true_gap,perceived_lat_gap,true_lat_gap,perceived_lat_speed,true_lat_speed,perceived_speed,true_speed,entry_ego_speed,entry_perceived_gap,entry_true_gap,entry_perceived_lat_gap,entry_true_lat_gap,entry_perceived_lat_speed,entry_true_lat_speed,entry_perceived_speed,entry_true_speed
1,0.0,False,0,4.0,0.0,0.0,False,25.0,-4.176459883525519,-3.4444444444444446,1.4868035291324806,1.6,0.0,0.0,2.7777777777777777,2.7777777777777777,,,,,,,,,
1,0.1,False,0,4.0,0.0,0.0,False,25.0,-4.165596548216883,-3.4444444444444446,2.0059228315633013,1.58,0.0,-0.1,2.7777777777777777,2.7777777777777777,25.0,347.45784534774435,348.17777777777786,-0.7031171161708965,-0.00999999999999579,-0.1,-0.1,2.7777777777777777,2.7777777777777777
1,0.2,False,0,4.0,0.0,0.0,False,25.0,-2.953858490803312,-3.4444444444444446,1.1330232751569298,1.56,-0.2,-0.2,2.7777777777777777,2.7777777777777777,25.0,171.61447496766206,170.40000000000003,0.3279741581755822,-0.019999999999997353,-0.2,-0.2,2.7777777777777777,2.7777777777777777
1,0.30000000000000004,False,0,4.0,0.0,0.0,False,25.0,-3.6868760259146507,-3.4444444444444446,1.4184228200871756,1.54,-0.30000000000000004,-0.30000000000000004,2.7777777777777777,2.7777777777777777,25.0,111.3506866682709,110.40000000000002,-0.16352070037804367,-0.020000000000001572,-0.30000000000000004,-0.30000000000000004,2.7777777777777777,2.7777777777777777
1,0.4,False,0,3.599999999999999,0.0,0.0,False,25.0,-3.3891096462497448,-3.4444444444444446,1.3587458178898588,1.52,-0.4,-0.4,2.7777777777777777,2.7777777777777777,25.0,80.55560615709351,79.2888888888889,0.43908900560161745,-6.661338147750939e-16,-0.4,-0.4,2.7777777777777777,2.7777777777777777
1,0.5,False,0,2.7999999999999994,0.0,0.0,False,25.0,-3.4844043024643856,-3.4444444444444446,1.893621797640344,1.5,-0.5,-0.5,2.7777777777777777,2.7777777777777777,25.0,61.72938238954849,61.51111111111112,-0.5348537320655138,0.0,-0.5,-0.5,2.7777777777777777,2.7777777777777777
1,0.6000000000000001,False,0,2.2666666666666657,0.0,0.0,False,25.0,-3.5633046233999917,-3.4444444444444446,1.997778459599449,1.48,-0.6,-0.6000000000000001,2.7777777777777777,2.7777777777777777,25.0,51.18755167859955,50.400000000000006,0.49878219956710224,-0.019999999999999574,-0.6000000000000001,-0.6000000000000001,2.7777777777777777,2.7777777777777777
1,0.7000000000000001,False,0,1.885714285714285,0.0,0.0,False,25.0,-3.5903120214340296,-3.4444444444444446,1.7218508420220267,1.46,-0.7000000000000001,-0.7000000000000001,2.7777777777777777,2.7777777777777777,25.0,41.61632622504551,41.51111111111111,0.49168716309798954,-0.009999999999999343,-0.7000000000000001,-0.7000000000000001,2.7777777777777777,2.7777777777777777
1,0.8,False,0,1.6000000000000005,0.0,0.0,False,25.0,-3.499758514952638,-3.4444444444444446,1.1844060622333883,1.44,-0.8,-0.8,2.7777777777777777,2.7777777777777777,25.0,34.92823246818909,34.84444444444445,0.0544017379318269,-2.220446049250313e-16,-0.8,-0.8,2.7777777777777777,2.7777777777777777
1,0.9,False,0,1.3777777777777782,0.0,0.0,False,25.0,-3.0720341505341766,-3.4444444444444446,1.0106558311495348,1.42,-0.9,-0.9,2.7777777777777777,2.7777777777777777,25.0,30.9050446486234,30.400000000000002,-0.30160811629930695,-0.02000000000000024,-0.9,-0.9,2.7777777777777777,2.7777777777777777
